n,TP,FP,FN,TN,accuracy,sensitivity,specificity,f1,roc_auc,pr_auc,brier,ece,subject_id,feature_set,model
120,30,57,0,33,0.525,1.0,0.36666666666666664,0.5128205128205128,1.0,0.9999999999999999,0.2468283416836202,0.38906817613743505,Subject35,hjorth_only,logistic_regression
120,9,1,21,89,0.8166666666666667,0.3,0.9888888888888889,0.45,0.9648148148148148,0.89721998708134,0.14331537340536177,0.16829907292756785,Subject00,hjorth_only,svm_rbf
120,12,5,18,85,0.8083333333333333,0.4,0.9444444444444444,0.5106382978723404,0.8051851851851852,0.6517728272165789,0.14500789451655466,0.1352712835508722,Subject01,hjorth_only,svm_rbf
120,30,85,0,5,0.2916666666666667,1.0,0.05555555555555555,0.41379310344827586,0.7625925925925926,0.5023243187855805,0.6260379124018489,0.6652848852359565,Subject02,hjorth_only,svm_rbf
120,13,0,17,90,0.8583333333333333,0.43333333333333335,1.0,0.6046511627906976,0.9903703703703703,0.969154852640253,0.1489071115873359,0.17893514882399947,Subject03,hjorth_only,svm_rbf
114,0,4,30,80,0.7017543859649122,0.0,0.9523809523809523,0.0,0.3944444444444445,0.21774841019429098,0.26080695431888956,0.25218793256292776,Subject04,hjorth_only,svm_rbf
120,19,57,11,33,0.43333333333333335,0.6333333333333333,0.36666666666666664,0.3584905660377358,0.5944444444444446,0.3615789744787102,0.30665996024899905,0.3103930315348957,Subject05,hjorth_only,svm_rbf
120,21,4,9,86,0.8916666666666667,0.7,0.9555555555555556,0.7636363636363637,0.9283333333333333,0.8511297413673614,0.09215420860938761,0.06082519103667733,Subject06,hjorth_only,svm_rbf
120,20,23,10,67,0.725,0.6666666666666666,0.7444444444444445,0.547945205479452,0.8159259259259259,0.6114048620867343,0.15606508785700163,0.09024735918063392,Subject07,hjorth_only,svm_rbf
120,8,9,22,81,0.7416666666666667,0.26666666666666666,0.9,0.3404255319148936,0.6207407407407408,0.4147997917514827,0.19451285598648277,0.13392417407416427,Subject08,hjorth_only,svm_rbf
